1,1052,"Hydrogen fluoride, anhydrous*"
1,1182,"Ethyl chloroformate"
1,1183,"Ethyldichlorosilane"
1,1238,"Methyl chloroformate"
1,1242,"Methyldichlorosilane"
1,1250,"Methyltrichlorosilane"
1,1295,"Trichlorosilane"
1,1298,"Trimethylchlorosilane"
1,1305,"Vinyltrichlorosilane"
1,1572,"Cacodylic acid"
1,1595,"Dimethyl sulphate"
1,1715,"Acetic anhydride"
1,1716,"Acetyl bromide"
1,1717,"Acetyl chloride"
1,1718,"Butyl acid phosphate"
1,1722,"Allyl chloroformate"
1,1723,"Allyl iodide"
1,1724,"Allyltrichlorosilane, stabilized"
1,1725,"Aluminium bromide, anhydrous"
1,1726,"Aluminium chloride, anhydrous"
1,1727,"Ammonium hydrogendifluoride, solid"
1,1728,"Amyltrichlorosilane"
1,1729,"Anisoyl chloride"
1,1730,"Antimony pentachloride, liquid"
1,1731,"Antimony pentachloride solution"
1,1732,"Antimony pentafluoride"
1,1733,"Antimony trichloride"
1,1736,"Benzoyl chloride"
1,1737,"Benzyl bromide"
1,1738,"Benzyl chloride"
1,1739,"Benzyl chloroformate"
1,1740,"Hydrogendifluorides, n.o.s."
1,1742,"Boron trifluoride acetic acid complex, liquid"
1,1743,"Boron trifluoride propionic acid complex, liquid"
1,1744,"Bromine or bromine solution"
1,1745,"Bromine pentafluoride"
1,1746,"Bromine trifluoride"
1,1747,"Butyltrichlorosilane"
1,1750,"Chloroacetic acid solution"
1,1751,"Chloroacetic acid, solid"
1,1752,"Chloroacetyl chloride"
1,1753,"Chlorophenyltrichlorosilane"
1,1754,"Chlorosulphonic acid (with or without sulphur trioxide)"
1,1755,"Chromic acid solution"
1,1756,"Chromic fluoride, solid"
1,1757,"Chromic fluoride solution"
1,1758,"Chromium oxychloride"
1,1762,"Cyclohexenyltrichlorosilane"
1,1763,"Cyclohexyltrichlorosilane"
1,1764,"Dichloroacetic acid"
1,1765,"Dichloroacetyl chloride"
1,1766,"Dichlorophenyltrichlorosilane"
1,1767,"Diethyldichlorosilane"
1,1768,"Difluorophosphoric acid, anhydrous"
1,1769,"Diphenyldichlorosilane"
1,1770,"Diphenylmethyl bromide"
1,1771,"Dodecyltrichlorosilane"
1,1773,"Ferric chloride, anhydrous"
1,1775,"Fluoroboric acid"
1,1776,"Fluorophosphoric acid, anhydrous"
1,1777,"Fluorosulphonic acid*"
1,1778,"Fluorosilicic acid"
1,1779,"Formic acid with more than 85% acid by mass"
1,1780,"Fumaryl chloride"
1,1781,"Hexadecyltrichlorosilane"
1,1782,"Hexafluorophosphoric acid"
1,1784,"Hexyltrichlorosilane"
1,1786,"Hydrofluoric acid and sulphuric acid mixture*"
1,1787,"Hydriodic acid*"
1,1788,"Hydrobromic acid*"
1,1789,"Hydrochloric acid*"
1,1790,"Hydrofluoric acid*"
1,1792,"Iodine monochloride, solid"
1,1793,"Isopropyl acid phosphate"
